1,"al gülüm ver gülüm",3
1,"balgümeci",5
1,"beslenme",2
1,"basmaca",2
1,"adýmýný attýrmamak",3
1,"arkalamak",5
1,"alýn yazýsý",3
1,"aktartma",4
1,"baþvurma",7
1,"belgin",6
1,"bademli",1
1,"basýcý",1
1,"ayrýmlýlaþmak",1
1,"anlaþýlan",6
1,"bazýlarý",2
1,"al kan",3
1,"baþgöz etmek",2
1,"benzincilik",2
1,"baþ vermek",2
1,"bellek yitimi",5
1,"azot",1
1,"aktan kara kalktý mý",1
1,"aþaðýlý yukarýlý",3
1,"beta ýþýnlarý",2
1,"adli",4
1,"bekleme",3
1,"aile hukuku",4
1,"aþamcak",6
1,"bastonlu",6
1,"bellisiz",3
1,"baþ tacý etmek",3
1,"amasý mamasý yok",1
1,"ballýk",6
1,"açýklayan",4
1,"almancý",3
1,"ant verdirmek",4
1,"algýlanmak",6
1,"aka",5
1,"adçekimi",4
1,"azledilmesi",5
1,"asýrdide",5
1,"alaca bulaca",5
1,"ayaklarý dolaþmak",6
1,"aksatma",1
1,"ayrýklýk",3
1,"bencillik",5
1,"ay evi",4
1,"bernier çamurcunu",5
1,"alakasýz",2
1,"aklýna yelken etmek",7
1,"baþparmak",5
1,"beslenme bozukluðu",4
1,"ahkam yürütmek",7
1,"anonim þirket",4
1,"adalet",1
1,"asit alkol",2
1,"adlandýrýlma",6
1,"antibiyotik tedavisi",4
1,"amcasýnýn",5
1,"besmele",4
1,"aðustos",1
1,"aðaççýlýk",6
1,"allamak",5
1,"bacaðýn",1
2,"beslenme",3
2,"ablaklýk",7
2,"arkalamak",7
2,"altun",4
2,"açýk kapý politikasý",2
2,"anýþtýrmak",3
2,"amonyum karbonat",6
2,"ayaz paþa kol geziyor",4
2,"beþ altý",7
2,"baba adam",3
2,"aðýzlama",2
2,"akseptans",3
2,"akþaman",4
2,"artagan",2
2,"adamsendeci",1
2,"aygýn baygýn",4
2,"aptallýk",3
2,"azar",4
2,"aktan",6
2,"basket",5
2,"belirtilmezlik",1
2,"ak kan yangýsý",6
2,"balast",3
2,"barutçuluk",7
2,"baydan",1
2,"azot",3
2,"bangladeþ",7
2,"alivre",4
2,"açýk yüreklilik",3
2,"belgelendirmek",5
2,"afis",7
2,"bedduasýný almak",1
2,"adalete teslim etmek",6
2,"anlaþýlmamýþ",5
2,"avans",6
2,"ahlaksýz",6
2,"aþýrý besi",4
2,"alternatör",2
2,"altýlýk",4
2,"berkli",6
2,"babasýna rahmet okumak",2
2,"aðrýkesen",6
2,"aðrýkesen",1
2,"alaca bulaca",6
2,"ayrýlmýþ",1
2,"aksýrtmak",1
2,"alt yazýlama",3
2,"acýya",5
2,"acýya",2
2,"beklenmek",6
2,"baþefendi",7
2,"anket yapmak",7
2,"beçene",3
2,"bað budamak",2
2,"aðustos",4
2,"babana rahmet",4
2,"ana yüreði",4
2,"baþýný kurtarmak",2
2,"bankomat",6
2,"alacakmýsýn",1
2,"basýn yasaðý",3
3,"bas bariton",3
3,"betonlaþma",3
3,"ayrýç",4
3,"ayrýç",3
3,"allak",7
3,"amanýn",6
3,"ayniyet",5
3,"benibeþer",7
3,"adonis",2
3,"baþsýzlýk",2
3,"belgilemek",3
3,"atölye",1
3,"belirtme sýfatý",2
3,"bertik",7
3,"betonkarar",4
3,"baþarýlma",4
3,"bela kesilmek",5
3,"bangladeþ",2
3,"açýk hece",7
3,"alivre",5
3,"bedenli",5
3,"aktan kara kalktý mý",5
3,"basmakalýplaþmak",6
3,"astýrma",7
3,"astýrma",2
3,"anýmsama",7
3,"aþým",5
3,"anons etmek",7
3,"basketbol",3
3,"bengisu",7
3,"allak bullak etmek",6
3,"behime",4
3,"alk",7
3,"berber dükkaný",3
3,"aþýcýlýk",4
3,"balýk çorbasý",7
3,"belirlenmek",3
3,"atom reaktörü",4
3,"azledilmesi",3
3,"aþikar etmek",1
3,"andýrmak",5
3,"acýsý çýkmak",6
3,"bakýþýmsýz",5
3,"ahbap çýkmak",2
3,"alet",6
3,"banyo havlusu",4
3,"aðaç delen",2
3,"aitlik",2
3,"baþýný ezmek",2
3,"ayak divaný",6
3,"adý batasý",5
3,"agnostiszm",5
3,"ambalajcýlýk",1
