Aliaga;C;516614.934783;4307201.30435;38.9135558118;27.1916435931;548;
Bandirma;C;591914.368148;4469205.28852;40.3683593473;28.0826182133;282;
Mazi;C;451878.666667;4231691.57143;38.2319303268;26.4501701647;52;
Soma;C;562935.391304;4349764.71739;39.294972711;27.7298419806;740;
Zeytineli;C;454788.6;4233961.85;38.2525414767;26.4832726966;174;
Dinar_1;C;249731.0;4226818.04545;38.1545459874;30.1437443223;1390;
Dinar_2;C;250382.916667;4227057.66667;38.1568835766;30.1510920115;1374;
Dinar_3;C;255168.8125;4215600.6875;38.0550596229;30.2095824636;1182;
Eolos-Senkoy;C;241454.643167;3993307.00608;36.0500008311;36.1298980538;902;
Kanije;C;490439.55;4553288.2;41.1308421666;26.886096986;281
